Year,Escapement,Reach,Reach_text
2021,58,CNFH,Coleman Hatchery
2020,96,CNFH,Coleman Hatchery
2019,74,CNFH,Coleman Hatchery
2018,0,CNFH,Coleman Hatchery
2017,0,CNFH,Coleman Hatchery
2016,0,CNFH,Coleman Hatchery
2015,1,CNFH,Coleman Hatchery
2014,0,CNFH,Coleman Hatchery
2013,0,CNFH,Coleman Hatchery
2012,0,CNFH,Coleman Hatchery
2011,2,CNFH,Coleman Hatchery
2010,0,CNFH,Coleman Hatchery
2009,0,CNFH,Coleman Hatchery
2008,0,CNFH,Coleman Hatchery
2007,0,CNFH,Coleman Hatchery
2006,0,CNFH,Coleman Hatchery
2005,0,CNFH,Coleman Hatchery
2004,0,CNFH,Coleman Hatchery
2003,0,CNFH,Coleman Hatchery
2002,0,CNFH,Coleman Hatchery
2001,0,CNFH,Coleman Hatchery
2000,NA,CNFH,Coleman Hatchery
1999,NA,CNFH,Coleman Hatchery
1998,NA,CNFH,Coleman Hatchery
1997,NA,CNFH,Coleman Hatchery
1996,NA,CNFH,Coleman Hatchery
1995,43,CNFH,Coleman Hatchery
1994,42,CNFH,Coleman Hatchery
1993,NA,CNFH,Coleman Hatchery
1992,34,CNFH,Coleman Hatchery
1991,33,CNFH,Coleman Hatchery
1990,14,CNFH,Coleman Hatchery
1989,42,CNFH,Coleman Hatchery
2021,298,LSTON,Livingston Stone Hatchery
2020,191,LSTON,Livingston Stone Hatchery
2019,180,LSTON,Livingston Stone Hatchery
2018,180,LSTON,Livingston Stone Hatchery
2017,180,LSTON,Livingston Stone Hatchery
2016,137,LSTON,Livingston Stone Hatchery
2015,257,LSTON,Livingston Stone Hatchery
2014,388,LSTON,Livingston Stone Hatchery
2013,164,LSTON,Livingston Stone Hatchery
2012,93,LSTON,Livingston Stone Hatchery
2011,86,LSTON,Livingston Stone Hatchery
2010,63,LSTON,Livingston Stone Hatchery
2009,121,LSTON,Livingston Stone Hatchery
2008,105,LSTON,Livingston Stone Hatchery
2007,54,LSTON,Livingston Stone Hatchery
2006,93,LSTON,Livingston Stone Hatchery
2005,109,LSTON,Livingston Stone Hatchery
2004,85,LSTON,Livingston Stone Hatchery
2003,85,LSTON,Livingston Stone Hatchery
2002,104,LSTON,Livingston Stone Hatchery
2001,104,LSTON,Livingston Stone Hatchery
2000,89,LSTON,Livingston Stone Hatchery
1999,24,LSTON,Livingston Stone Hatchery
1998,99,LSTON,Livingston Stone Hatchery
